"title","rating"
"Bright Encounters","PG-13"
"Airplane Sierra","PG-13"
"Alabama Devil","PG-13"
"Alter Victory","PG-13"
"Anthem Luke","PG-13"
"Apollo Teen","PG-13"
"Arachnophobia Rollercoaster","PG-13"
"Argonauts Town","PG-13"
"Attacks Hate","PG-13"
"Attraction Newton","PG-13"
"Backlash Undefeated","PG-13"
"Basic Easy","PG-13"
"Beethoven Exorcist","PG-13"
"Berets Agent","PG-13"
"Bilko Anonymous","PG-13"
"Bingo Talented","PG-13"
"Blade Polish","PG-13"
"Blindness Gun","PG-13"
"Braveheart Human","PG-13"
"Breaking Home","PG-13"
"Butch Panther","PG-13"
"Casper Dragonfly","PG-13"
"Celebrity Horn","PG-13"
"Chicago North","PG-13"
"Circus Youth","PG-13"
"Cleopatra Devil","PG-13"
"Clockwork Paradise","PG-13"
"Club Graffiti","PG-13"
"Clyde Theory","PG-13"
"Core Suit","PG-13"
"Command Darling","PG-13"
"Confessions Maguire","PG-13"
"Confused Candles","PG-13"
"Congeniality Quest","PG-13"
"Conspiracy Spirit","PG-13"
"Contact Anonymous","PG-13"
"Crooked Frogmen","PG-13"
"Curtain Videotape","PG-13"
"Dares Pluto","PG-13"
"Darling Breaking","PG-13"
"Daughter Madigan","PG-13"
"Deep Crusade","PG-13"
"Destination Jerk","PG-13"
"Detective Vision","PG-13"
"Divide Monster","PG-13"
"Dolls Rage","PG-13"
"Drifter Commandments","PG-13"
"Driver Annie","PG-13"
"Dynamite Tarzan","PG-13"
"Elephant Trojan","PG-13"
"English Bulworth","PG-13"
"Evolution Alter","PG-13"
"Expecations Natural","PG-13"
"Eyes Driving","PG-13"
"Factory Dragon","PG-13"
"Falcon Volume","PG-13"
"Fantasy Troopers","PG-13"
"Feathers Metal","PG-13"
"Flamingos Connecticut","PG-13"
"Flintstones Happiness","PG-13"
"Floats Garden","PG-13"
"Freedom Cleopatra","PG-13"
"Frontier Cabin","PG-13"
"Fury Murder","PG-13"
"Games Bowfinger","PG-13"
"Gandhi Kwai","PG-13"
"Gangs Pride","PG-13"
"Gathering Calendar","PG-13"
"Glory Tracy","PG-13"
"Groundhog Uncut","PG-13"
"Gunfighter Mussolini","PG-13"
