"title","rental_rate","rental_rate_category"
"Chamber Italian","4.99","High"
"Grosse Wonderful","4.99","High"
"Airport Pollock","4.99","High"
"Bright Encounters","4.99","High"
"Academy Dinosaur","0.99","Low"
"Ace Goldfinger","4.99","High"
"Adaptation Holes","2.99","Moderate"
"Affair Prejudice","2.99","Moderate"
"African Egg","2.99","Moderate"
"Agent Truman","2.99","Moderate"
"Airplane Sierra","4.99","High"
"Alabama Devil","2.99","Moderate"
"Aladdin Calendar","4.99","High"
"Alamo Videotape","0.99","Low"
"Alaska Phantom","0.99","Low"
"Date Speed","0.99","Low"
"Ali Forever","4.99","High"
"Alice Fantasia","0.99","Low"
"Alien Center","2.99","Moderate"
"Alley Evolution","2.99","Moderate"
"Alone Trip","0.99","Low"
"Alter Victory","0.99","Low"
"Amadeus Holy","0.99","Low"
"Amelie Hellfighters","4.99","High"
"American Circus","4.99","High"
"Amistad Midsummer","2.99","Moderate"
"Anaconda Confessions","0.99","Low"
"Analyze Hoosiers","2.99","Moderate"
"Angels Life","2.99","Moderate"
"Annie Identity","0.99","Low"
"Anonymous Human","0.99","Low"
"Anthem Luke","4.99","High"
"Antitrust Tomatoes","2.99","Moderate"
"Anything Savannah","2.99","Moderate"
"Apache Divine","4.99","High"
"Apocalypse Flamingos","4.99","High"
"Apollo Teen","2.99","Moderate"
"Arabia Dogma","0.99","Low"
"Arachnophobia Rollercoaster","2.99","Moderate"
"Argonauts Town","0.99","Low"
"Arizona Bang","2.99","Moderate"
"Ark Ridgemont","0.99","Low"
"Armageddon Lost","0.99","Low"
"Army Flintstones","0.99","Low"
"Arsenic Independence","0.99","Low"
"Artist Coldblooded","2.99","Moderate"
"Dying Maker","4.99","High"
"Atlantis Cause","2.99","Moderate"
"Attacks Hate","4.99","High"
"Attraction Newton","4.99","High"
"Autumn Crow","4.99","High"
"Baby Hall","4.99","High"
"Backlash Undefeated","4.99","High"
"Badman Dawn","2.99","Moderate"
"Baked Cleopatra","2.99","Moderate"
"Casualties Encino","4.99","High"
"Balloon Homeward","2.99","Moderate"
"Ballroom Mockingbird","0.99","Low"
"Bang Kwai","2.99","Moderate"
"Banger Pinocchio","0.99","Low"
"Barbarella Streetcar","2.99","Moderate"
"Barefoot Manchurian","2.99","Moderate"
"Basic Easy","2.99","Moderate"
"Beach Heartbreakers","2.99","Moderate"
"Bear Graceland","2.99","Moderate"
"Beast Hunchback","4.99","High"
"Beauty Grease","4.99","High"
"Bed Highball","2.99","Moderate"
"Bedazzled Married","0.99","Low"
"Beethoven Exorcist","0.99","Low"
"Behavior Runaway","4.99","High"
"Beneath Rush","0.99","Low"
"Berets Agent","2.99","Moderate"
"Betrayed Rear","4.99","High"
"Beverly Outlaw","2.99","Moderate"
"Bikini Borrowers","4.99","High"
"Bilko Anonymous","4.99","High"
"Bill Others","2.99","Moderate"
